Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2015,09,16,22:54:32,-31.5729,-71.6744,22.4,8.3,"48km W of Illapel, Chile",1442444072
2017,09,08,04:49:19,15.0222,-93.8993,47.4,8.2,"101km SSW of Tres Picos, Mexico",1504846159
2019,05,26,07:41:15,-5.8119,-75.2697,122.6,8,"78km SE of Lagunas, Peru",1558856475
2016,03,02,12:49:48,-4.9521,94.3299,24,7.8,"Southwest of Sumatra, Indonesia",1456922988
2016,04,16,23:58:36,0.3819,-79.9218,20.6,7.8,"27km SSE of Muisne, Ecuador",1460851116
2015,04,25,06:11:25,28.2305,84.7314,8.2,7.8,"36km E of Khudi, Nepal",1429942285
2020,01,28,19:10:24,19.4193,-78.756,14.9,7.7,"123km NNW of Lucea, Jamaica",1580238624
2016,12,25,14:22:27,-43.4064,-73.9413,38,7.6,"41km SW of Puerto Quellon, Chile",1482675747
2015,11,24,22:45:38,-10.5372,-70.9437,606.2,7.6,"173km WNW of Iberia, Peru",1448405138
2015,11,24,22:50:54,-10.0598,-71.0184,620.6,7.6,"211km S of Tarauaca, Brazil",1448405454
2019,02,22,10:17:23,-2.1862,-77.0505,145,7.5,"111km ESE of Palora, Ecuador",1550830643
2018,09,28,10:02:45,-0.2559,119.8462,20,7.5,"70km N of Palu, Indonesia",1538128965
2018,01,10,02:51:33,17.4825,-83.52,19,7.5,"44km E of Great Swan Island, Honduras",1515552693
2015,10,26,09:09:42,36.5244,70.3676,231,7.5,"45km E of Farkhar, Afghanistan",1445850582
2020,06,23,15:29:04,15.8871,-96.0061,20,7.4,"9 km SE of Santa María Xadani, Mexico",1592926144
2016,08,19,07:32:22,-55.2852,-31.8766,10,7.4,"South Georgia Island region",1471591942
2018,08,21,21:31:47,10.7731,-62.9019,146.8,7.3,"24km ENE of Rio Caribe, Venezuela",1534887107
2017,01,10,06:13:48,4.4782,122.6171,627.2,7.3,"189km SSE of Tabiauan, Philippines",1484028828
2017,11,12,18:18:17,34.9109,45.9592,19,7.3,"29km S of Halabjah, Iraq",1510510697
2015,05,12,07:05:19,27.8087,86.0655,15,7.3,"19km SE of Kodari, Nepal",1431414319
2018,02,16,23:39:39,16.3855,-97.9787,22,7.2,"3km S of San Pedro Jicayan, Mexico",1518824379
2016,05,28,09:46:59,-56.2409,-26.9353,78,7.2,"53km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",1464428819
2015,12,07,07:50:05,38.2107,72.7797,22,7.2,"104km W of Murghob, Tajikistan",1449474605
2019,11,14,16:17:40,1.6213,126.4156,33,7.1,"138km E of Bitung, Indonesia",1573748260
2019,07,06,03:19:53,35.7695,-117.5993,8,7.1,"2019 Ridgecrest Earthquake Sequence",1562383193
2018,12,11,02:26:29,-58.5446,-26.3856,133,7.1,"54km N of Bristol Island, South Sandwich Islands",1544495189
2018,01,14,09:18:45,-15.7675,-74.7092,39,7.1,"38km SSW of Acari, Peru",1515921525
2018,08,24,09:04:08,-11.0355,-70.8284,630,7.1,"140km WNW of Iberia, Peru",1535101448
2017,09,19,18:14:38,18.5499,-98.4887,48,7.1,"1km E of Ayutla, Mexico",1505844878
2016,08,29,04:29:57,-0.0456,-17.8255,10,7.1,"North of Ascension Island",1472444997
2015,02,13,18:59:12,52.6487,-31.9016,16.7,7.1,"Northern Mid-Atlantic Ridge",1423853952
2015,12,04,22:25:00,-47.6165,85.0913,35,7.1,"Southeast Indian Ridge",1449267900
2020,10,30,11:51:27,37.9175,26.7901,21,7,"15 km NNE of Néon Karlovásion, Greece",1604058687
2019,03,01,08:50:42,-14.7131,-70.1546,267,7,"23km NNE of Azangaro, Peru",1551430242
2018,12,29,03:39:09,5.8983,126.9209,60.2,7,"96km ESE of Pondaguitan, Philippines",1546054749
2015,02,27,13:45:05,-7.2968,122.5348,552.1,7,"130km N of Nebe, Indonesia",1425044705
2015,06,17,12:51:32,-35.3639,-17.1605,10,7,"Southern Mid-Atlantic Ridge",1434545492
